CondRecNo.	Customer	Customer number	Amount	Valid From	Valid to	SOrg.	DChl
0000173542	0000040645	PICK N PAY NATAL CORPORATE	40.00-	08.09.2010	13.02.2011	101	10
0000156429	0000040655	MUSIC MIX	60.90-	30.12.2009	31.12.9999	101	10
0000156430	0000040700	LOOK AND LISTEN SKE 60 DAY ACC	122.00-	30.12.2009	17.03.2010	101	10
0000163331	0000040700	LOOK AND LISTEN SKE 60 DAY ACC	176.80-	18.03.2010	31.12.9999	101	10
0000156431	0000040710	SPAR EASTERN CAPE	60.90-	30.12.2009	31.12.9999	101	10
0000175412	0000040730	PICK N PAY EASTERN CAPE CORPORATE	40.00-	16.11.2010	13.02.2011	101	10
0000156432	0000040770	TAKE 2	60.90-	30.12.2009	03.05.2012	101	10
0000200779	0000040770	TAKE 2	109.70-	04.05.2012	31.12.9999	101	10
0000156433	0000040780	CREDIT NOTE - SPAR EASTERN CAPE	60.90-	30.12.2009	31.12.9999	101	10
0000156434	0000040783	CREDIT NOTE - LOOK & LISTEN	122.00-	30.12.2009	31.12.9999	101	10
0000156435	0000040817	SPAR SOUTH RAND	60.90-	30.12.2009	31.12.9999	101	10
0000156436	0000040836	EDCON (PROPRIETARY) LIMITED	158.50-	30.12.2009	31.12.9999	101	10
0000156437	0000040878	MUSIC MOODS	109.70-	30.12.2009	31.12.9999	101	10
0000156438	0000040905	FLIP BEZUIDENHOUT PRODUKSIES	200.00-	30.12.2009	31.12.9999	101	10
0000156439	0000040906	SPAR NORTH RAND	60.90-	30.12.2009	31.12.9999	101	10
0000156440	0000040915	HI FI CORPORATION HOME VIDEO	109.70-	30.12.2009	31.12.9999	101	10
0000156441	0000040916	SUPREME FURNISHERS (NAMIBIA) PTY LT	109.70-	30.12.2009	31.12.9999	101	10
0000156442	0000040917	HI-FI ELECTRIC WAREHOUSE (PTY) LTD	109.70-	30.12.2009	31.12.9999	101	10
0000156443	0000040970	SPAR KWAZULU NATAL	60.90-	30.12.2009	31.12.9999	101	10
0000156444	0000040971	SPAR WESTERN CAPE	60.90-	30.12.2009	31.12.9999	101	10
0000156445	0000040995	EXCLUSIVE BOOKS MIDLANDS MALL	60.90-	30.12.2009	31.12.9999	101	10
0000156446	0000041010	JIVE CITY	122.00-	30.12.2009	07.07.2011	101	10
0000185525	0000041010	JIVE CITY	109.70-	08.07.2011	31.12.9999	101	10
0000156447	0000041034	MUSIC OBSESSION HONEYDEW	60.90-	30.12.2009	31.12.9999	101	10
0000191908	0000041070	LOOT CO ZA	85.30-	02.11.2011	31.01.2012	101	10
0000195720	0000041070	LOOT CO ZA	85.30-	22.02.2012	31.12.9999	101	10
0000156448	0000041095	HIGH FIDELITY	60.90-	30.12.2009	31.12.9999	101	10
0000156449	0000041117	MUSIC MOODS SOMERSET WEST	109.70-	30.12.2009	31.12.9999	101	10
0000156450	0000041118	BRETTIAN PRODUCTIONS CC	200.00-	30.12.2009	31.12.9999	101	10
0000156451	0000041122	MUSIC MOODS  KECOMA PTY LTD	109.70-	30.12.2009	31.12.9999	101	10
0000156452	0000041123	TOY ZONE	60.90-	30.12.2009	31.12.9999	101	10
0000156453	0000041128	TOP CD QUAGGA	109.70-	30.12.2009	31.12.9999	101	10
0000156454	0000041179	AIRPORT RETAIL CONCESSIONS PTY LTD	60.90-	30.12.2009	31.12.9999	101	10
0000156455	0000041204	REBEL MUSIC	60.90-	30.12.2009	31.12.9999	101	10
0000156456	0000041228	EDCON PTY LTD	158.50-	30.12.2009	31.12.9999	101	10
0000156457	0000041260	MUSIC OBSESSION RUSTENBURG	60.90-	30.12.2009	31.12.9999	101	10
0000156458	0000041261	MUSIC OBSESSION KRUGERSDORP	60.90-	30.12.2009	31.12.9999	101	10
0000156459	0000041262	MUSIC OBSESSION VEREENIGING	60.90-	30.12.2009	31.12.9999	101	10
0000156460	0000041263	MUSIC OBSESSION PIETERMARITZBURG	60.90-	30.12.2009	31.12.9999	101	10
0000156461	0000041264	MUSIC OBSESSION WITBANK	60.90-	30.12.2009	31.12.9999	101	10
0000156462	0000041285	SALON MUSIC	60.90-	30.12.2009	31.12.9999	101	10
0000156464	0000400006	EDREAMS DOT CO DOT ZA	146.30-	30.12.2009	31.12.9999	101	10
0000156465	0000400020	HIGH FIDELITY  BEDFORD	60.90-	30.12.2009	31.12.9999	101	10
0000156466	0000400030	SH640 ZIGGYS	60.90-	30.12.2009	31.12.9999	101	10
0000156467	0000400041	MUSIC OBSESSION VANDERBIJLPARK	60.90-	30.12.2009	31.12.9999	101	10
0000156468	0000400051	SHOP A SAVE	60.90-	30.12.2009	31.12.9999	101	10
0000156469	0000400061	SH628 PHASE 2 CD'S (NEW ACCOUNT)	109.70-	30.12.2009	31.12.9999	101	10
0000156470	0000400067	INCREDIBLE MUSIC	60.90-	30.12.2009	31.12.9999	101	10
0000156471	0000400097	KALAHARI NET A DIVISION OF 24 COM	85.30-	30.12.2009	31.12.9999	101	10
0000156472	0000400106	SH578  RYTHMIC BEAT	60.90-	30.12.2009	31.12.9999	101	10
0000156473	0000400107	MICROMATICA 139 (PTY) T/A RYTHMIC B	60.90-	30.12.2009	31.12.9999	101	10
0000156474	0000400131	STREET BASS CC	60.90-	30.12.2009	31.12.9999	101	10
0000156475	0000400135	SH645 MUSIC 4 U	60.90-	30.12.2009	31.12.9999	101	10
0000156476	0000400160	CUM BOOKS VEREENIGING	85.30-	30.12.2009	31.12.9999	101	10
0000156477	0000400165	ASTOR CASH AND CARRY	85.30-	30.12.2009	31.12.9999	101	10
0000156478	0000400183	DAKOTA RECORD BAR CC	158.50-	30.12.2009	31.12.9999	101	10
0000156479	0000400190	BLOCKBUSTERS BRACKENHURST	85.30-	30.12.2009	31.12.9999	101	10
0000156480	0000400192	BLOCKBUSTERS DOUGLASDALE	85.30-	30.12.2009	31.12.9999	101	10
0000156481	0000400194	BLOCKBUSTERS EPSOM DOWNS	85.30-	30.12.2009	31.12.9999	101	10
0000156482	0000400195	BLOCKBUSTERS FOUNTAINBLEAU	85.30-	30.12.2009	31.12.9999	101	10
0000156483	0000400196	BLOCKBUSTERS DOUGLASDALE/LONEHILL	85.30-	30.12.2009	31.12.9999	101	10
0000156484	0000400197	BLOCKBUSTERS NORKEM PARK	85.30-	30.12.2009	31.12.9999	101	10
0000156485	0000400200	BLOCKBUSTERS VANDERBIJLPARK	85.30-	30.12.2009	31.12.9999	101	10
0000156486	0000400201	BLOCKBUSTERS LADYBRAND	85.30-	30.12.2009	31.12.9999	101	10
0000156487	0000400235	GOSPEL DIRECT	60.90-	30.12.2009	31.12.9999	101	10
0000180389	0000400242	TONES OF AFRICA	146.30-	03.05.2011	31.12.9999	101	10
0000156488	0000400249	CLUB RECORD BAR CC	60.90-	30.12.2009	17.08.2010	101	10
0000173242	0000400249	CLUB RECORD BAR CC	109.70-	18.08.2010	31.12.9999	101	10
0000156489	0000400250	BLOCKBUSTERS KENILWORTH	85.30-	30.12.2009	31.12.9999	101	10
0000156490	0000400270	VEES VIDEO HOLDINGS PTY LTD	85.30-	30.12.2009	31.12.9999	101	10
0000156491	0000400276	VIDEO 2000 PAROW	85.30-	30.12.2009	31.12.9999	101	10
0000161469	0000400465	RANGE ENTERTAINMENT	125.00-	04.02.2010	31.12.9999	101	10
0000156492	0000400553	SHOPRITE CHECKERS OK	106.30-	30.12.2009	31.12.9999	101	10
0000175161	0000400625	TOP CD THE GROVE	109.70-	03.11.2010	31.12.9999	101	10
0000173550	0000400626	PICK N PAY WESTERN CAPE CORPORATE	40.00-	08.09.2010	13.02.2011	101	10
0000163671	0000400638	NEW CLICKS SOUTH AFRICA PTY LTD	146.30-	19.04.2010	12.08.2010	101	10
0000172976	0000400638	NEW CLICKS SOUTH AFRICA PTY LTD	166.30-	13.08.2010	31.12.9999	101	10
0000173548	0000400656	PICK N PAY NORTHERN FAMILY	40.00-	08.09.2010	13.02.2011	101	10
0000173546	0000400657	PICK N PAY GAUTENG OFS FAMILY	40.00-	08.09.2010	13.02.2011	101	10
0000173543	0000400658	PICK N PAY NATAL FAMILY	40.00-	08.09.2010	13.02.2011	101	10
0000173551	0000400661	PICK N PAY WESTERN CAPE FAMILY	40.00-	08.09.2010	13.02.2011	101	10
0000162931	0000400664	EDCON (PROPRIETARY) LIMITED DISKOM	158.50-	04.03.2010	31.12.9999	101	10
0000173552	0000400665	PICK N PAY WESTERN CAPE HYPER	40.00-	08.09.2010	13.02.2011	101	10
0000173549	0000400666	PICK N PAY EASTERN CAPE HYPER	40.00-	08.09.2010	13.02.2011	101	10
0000173544	0000400667	PICK N PAY NATAL HYPER	40.00-	08.09.2010	13.02.2011	101	10
0000181752	0000400679	SUPER CD ILANGA LIFESTYLE CENTRE	85.30-	01.06.2011	31.12.9999	101	10
0000180388	0000400765	PHASE 2 CDS	109.70-	03.05.2011	31.12.9999	101	10
0000181333	0000400771	VIDEO SPOT	85.30-	25.05.2011	31.12.9999	101	10
0000188562	0000400773	MOVIE STOP	106.30-	11.08.2011	14.02.2013	101	10
0000216920	0000400773	MOVIE STOP	109.70-	15.02.2013	31.12.9999	101	10
0000201064	0000400784	EXCLUSIVE BOOKS HEAD OFFICE	100.00-	22.05.2012	31.12.9999	101	10
0000216872	0000400886	MUSIEK VIR ONSE MENSE CC	158.50-	11.02.2013	31.12.9999	101	10
0000225838	0000400925	TOSHOP.CO.ZA	85.30-	16.07.2013	31.12.9999	101	10
0000156493	0000407960	EDCON PTY LTD	158.50-	30.12.2009	31.12.9999	101	10
0000156463	0000070002	VEES VIDEO HOLDINGS PTY LTD	85.30-	30.12.2009	08.04.2010	111	21
0000216876	0000090029	EDCON PROPRIETARY LIMITED	50.00-	13.02.2013	31.12.9999	111	21
0000216877	0000900100	KALAHARI NET A DIVISION OF 24 COM	20.00-	13.02.2013	31.12.9999	111	21
